projsym,method,abstract,mpdsector,paneldesc,nstrains,sexes,pophints,intervention,ages,pistring,projyear
Palmer3,"open field test","Locomotor and exploratory behavior. 30 min test.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer3,"fear conditioning test","Contextual fear, cued fear.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer3,"acoustic startle test","Acoustic startle response, prepulse inhibition.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer3,"forced swim test","Immobility time. 6 min test.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer3,"metabolic panel","Glucose (blood). Before and after 16h fast.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer4,"body weight",,pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer4,"light-dark box","Anxiety-related. 5 min test.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer4,"open field test","Locomotor and exploratory activity, anxiety-related behavior, methamphetamine sensitivity. 30 min test.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer4,"forced swim test","Immobility time. 6 min test.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer4,"acoustic startle test","Acoustic startle response.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer5,"body weight",,pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer5,"open field test","Locomotor and exploratory behavior. 30 min test.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer5,"fear conditioning test","Contextual fear, cued fear.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer5,"acoustic startle test","Acoustic startle response, prepulse inhibition.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer5,"forced swim test","Immobility time. 6 min test.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer5,"metabolic panel","Glucose (blood). Before and after 16h fast.",pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer6,"body weight",,pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer6,"light-dark box","Anxiety-related. 5 min test.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer6,"open field test","Locomotor and exploratory activity, anxiety-related behavior, methamphetamine sensitivity. 30 min test.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer6,"forced swim test","Immobility time. 6 min test.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Palmer6,"acoustic startle test","Acoustic startle response.",pheno,"F1 Cacna1c",30,both,,methamphetamine,7-14wks,"Sittig LJ, Palmer AA",2017
Payseur1,"study archive","Body weight of Gough Island mice.",qtla,"QTL population",,both,"Gough Island mice x WSB intercross.",,1-16wks,"Payseur BA",2015
Payseur2,"study archive","Hybrid male sterility. Morphology, sperm count, histopathology.",qtla,"QTL population",,m,"WSB/EiJ x PWD/PhJ intercross",,10-11wks,"Payseur BA",2018
Perlegen2,genotyping,"SNP profiling, 8,100,000+ genomic locations, 1-19,X,Y,MT.",snp,inbred,16,m,,,,"Cox D, Frazer KA",2005
Peters1,"complete blood count",Hematology.,pheno,"inbred w/CC7",43,both,,,10wks,"Peters LL, Barker JE",2001
Peters1,"coagulation test",Fibrinogen.,pheno,"inbred w/CC7",43,both,,,10wks,"Peters LL, Barker JE",2001
Peters2,"complete blood count",Hematology.,pheno,"AXB BXA",28,both,,,11wks,"Peters LL, Barker JE",2004
Peters3,"complete blood count","Hematology. Variation over time of controls.",onestrain,1strain,1,both,C57BL/6J,,,"Peters LL, Svenson KL, Smith RV",2005
Peters4,"complete blood count","Hematology. Aging study, 6mo, 12mo, 18mo, 24mo.",pheno,inbred,30,both,,,"26, 52, 78, 104 wks","Peters LL",2007
Peters5,"study archive","Complete blood count measures on fetuses, newborns.",qtla,"QTL population",,both,"C3H/HeJ+/wan x CAST/EiJ F2 progeny",,"fetus, newborn","Peters LL",2004
Petkova1,"complete blood count","Hematology. Aging study, 6mo, 12mo, 18mo, 24mo.",pheno,inbred,32,both,,,"26, 52, 78, 104 wks","Petkova S, Roopenian D",2007
Petkova1,"immune cell quantification","Aging study, 6mo, 12mo, 18mo, 24mo.",pheno,inbred,32,both,,,"26, 52, 78, 104 wks","Petkova S, Roopenian D",2007
Petryshen1,"acoustic startle test","Acoustic startle response, prepulse inhibition.",pheno,"B6.A consomic",22,m,,,7-9wks,"Petryshen TL, Leussis MP",2009
Pitman1,"study archive","Cholesterol (plasma) after high-fat diet (several timepoints).",qtla,"QTL population",,f,"NZB/BlNJ x SM/J backcross progeny","high-fat diet",6-26wks,"Pitman WA, Churchill GA",2002
Pletcher1,"body weight",,pheno,inbred,32,m,,,7-9wks,"Pletcher MT",2007
Pletcher1,"open field test","Locomotor and anxiety-related behavior. 7 min test.",pheno,inbred,32,m,,,7-9wks,"Pletcher MT",2007
Pletcher1,"tail suspension test","Immobility percentage.",pheno,inbred,32,m,,,7-9wks,"Pletcher MT",2007
Pletcher1,"hormone quantification","Corticosterone (serum).",pheno,inbred,32,m,,,7-9wks,"Pletcher MT",2007
Poon1,histopathology,"Cell proliferation in the rostral migratory stream. BrdU+ cells.",pheno,inbred,9,both,,,13-78wks,"Poon A, Goldowitz D",2013
Powell1,"in vitro assay","Bacterial load after inoculation with Neisseria musculi. Oral cavity.",pheno,"inbred w/CC8",8,both,,"Neisseria musculi",8-16wks,"Powell DA, Ma M, Frelinger JA, So M",2018
Puk1,"organ dimensions","Eye morphology.",pheno,inbred,4,both,,,13wks,"Puk O, Graw J",2006
Recla1,"study archive","Hot plate nociception.",qtla,"DO population",,both,,,13-17wks,"Recla JM",2013
Reed1,"body size and weight","Body weight, body length, body mass index.",pheno,inbred,28,m,,,"8, 12 wks","Reed DR, Bachmanov AA, Tordoff MG",2009
Reed1,"fat pad weights","Epididymal, retroperitoneal.",pheno,inbred,28,m,,,"8, 12 wks","Reed DR, Bachmanov AA, Tordoff MG",2009
Reed1,"organ weights","Heart, kidney weights.",pheno,inbred,28,m,,,"8, 12 wks","Reed DR, Bachmanov AA, Tordoff MG",2009
Reed2,"body size and weight","Body weight, body length, body mass index.",pheno,"B6.129 and 129.B6 consomic w/par",9,both,,,26wks,"Reed DR, Bachmanov AA",2015
Reed2,"organ weights","Brain, heart, kidney, liver, pancreas, spleen weights.",pheno,"B6.129 and 129.B6 consomic w/par",9,both,,,26wks,"Reed DR, Bachmanov AA",2015
Reed2,"fat pad weights","Comprehensive, several anatomical sites.",pheno,"B6.129 and 129.B6 consomic w/par",9,both,,,26wks,"Reed DR, Bachmanov AA",2015
Reed2,DXA,"Body mass, fat mass, lean mass, bone mineral density and content, bone area. High-fat diet vs. control. Two age cohorts.",pheno,"B6.129 and 129.B6 consomic w/par",9,both,,,26wks,"Reed DR, Bachmanov AA",2015
Reifsnyder1,"study archive","Body weight (several ages), fat mass, body mass index, fat pad weights.",qtla,"QTL population",,m,"NZO/HlLtJ x NON/ShiLtJ backcross",,4-24wks,"Reifsnyder PC",2000
Reifsnyder2,"study archive","Type 2 diabetes onset.",qtla,"QTL population",,f,"NOD x NOR intercross",,12-40wks,"Reifsnyder PC",2005
Rhodes1,"running wheel monitoring","Locomotor activity. Exercise wheel group vs. control group. Distance per day.",pheno,inbred,12,both,,exercise,8-15wks,"Rhodes JS, Clark PJ",2010
Rhodes1,"body weight","Exercise wheel group vs. control group.",pheno,inbred,12,both,,exercise,8-15wks,"Rhodes JS, Clark PJ",2010
Rhodes1,microscopy,"Examination of hippocampus dentate gyrus. Exercise wheel group vs. control group.",pheno,inbred,12,both,,exercise,8-15wks,"Rhodes JS, Clark PJ",2010
Rice1,"proteomic profiling","Hair proteomics analysis. Spectral counts for 46 specific proteins.",pheno,inbred,11,both,,,10-19wks,"Rice RH, Sundberg JP",2012
Richards-Smith1,"study archive","Caloric intake, glucose, body and fat pad weights. Macronutrient diet option.",qtla,"QTL population",,m,"C57BL/6J x CAST/EiJ F2 reciprocal crosses","macronutrient diet option",8-13wks,"Richards-Smith BK, Churchill GA",2002
Richfield1,"open field test","Locomotor activity. 3 day trials. 45 min sessions.",pheno,inbred,15,m,,,7-9wks,"Richfield EK, Mhyre TR, Cory-Slechta DA, Thiruchelvam M, Chesler EJ",2003
Richfield1,"neurotransmitter quantification","Neurotransmitters. Molecular measures.",pheno,inbred,15,m,,,7-9wks,"Richfield EK, Mhyre TR, Cory-Slechta DA, Thiruchelvam M, Chesler EJ",2003
RIKEN-EAD1,"metabolic panel","Clinical blood chemistry (plasma). 4h fast.",pheno,"inbred RBRC",56,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
RIKEN-EAD1,"complete blood count",Hematology.,pheno,"inbred RBRC",56,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
RIKEN-EAD1,"lipid profile","Cholesterol, HDL, triglycerides. 4h fast, plasma.",pheno,"inbred RBRC",56,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
RIKEN-EAD1,"body size and weight","Body weight, body length, tail length.",pheno,"inbred RBRC",56,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
RIKEN-EAD2,"metabolic panel","Clinical blood chemistry (plasma). 4h fast.",pheno,"wild-derived RBRC",33,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
RIKEN-EAD2,"complete blood count",Hematology.,pheno,"wild-derived RBRC",33,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
RIKEN-EAD2,"lipid profile","Cholesterol, HDL, triglycerides. 4h fast, plasma.",pheno,"wild-derived RBRC",33,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
RIKEN-EAD2,"body size and weight","Body weight, body length, tail length.",pheno,"wild-derived RBRC",33,both,,,"8, 12 wks","RIKEN BioResource Center / Experimental Animal Division",2008
Rodriguez1,"study archive","Spleen, liver murine cytomegalovirus study.",qtla,"QTL population",,both,"NZW x NZB F2 progeny",,8-12wks,"Rodriguez MR, Churchill GA",2009
Rosen1,histopathology,"Midsagittal area of corpus callosum.",pheno,"BXD w/par",78,both,,,various,"Rosen GD",2012
Rosen2,histopathology,"Lateral septal nucleus volume.",pheno,"BXD w/par",71,both,,,various,"Rosen GD",2012
Rusyn2,"metabolic panel","Blood urea nitrogen, alanine transaminase, aspartate transaminase (serum). Baseline and trichloroethylene-exposed (several timepoints). No fast.",pheno,inbred,17,m,,trichloroethylene,7wks,"Rusyn I, Threadgill DW",2010
Rusyn2,"drug and metabolite quantification","Trichloroethylene metabolites in serum, 2h, 4h, 24h after trichoroethylene exposure.",pheno,inbred,17,m,,trichloroethylene,7wks,"Rusyn I, Threadgill DW",2010
Rusyn5,"metabolic panel","Alanine transaminase (serum) after 4wk regimen of ethanol vs. control, both groups on high-fat diet. 24h fast.",pheno,inbred,14,m,,"high-fat diet and ethanol",8-14wks,"Rusyn I",2011
Rusyn5,"alcohol quantification","Alcohol concentration in blood and urine after 4 wk regimen of ethanol vs. control, both groups on high-fat diet. 24h fast.",pheno,inbred,14,m,,"high-fat diet and ethanol",8-14wks,"Rusyn I",2011
Rusyn5,"organ weights","Liver weight after 4wk regimen of ethanol vs. control, both groups on high-fat diet. 24h fast.",pheno,inbred,14,m,,"high-fat diet and ethanol",8-14wks,"Rusyn I",2011
Rusyn5,histopathology,"Liver histopathology, injury after 4wk regimen of ethanol vs. control, both groups on high-fat diet. 24h fast.",pheno,inbred,14,m,,"high-fat diet and ethanol",8-14wks,"Rusyn I",2011
Rusyn5,"metabolite quantification","Homocysteine concentration after 4wk regimen of ethanol vs. control, both groups on high-fat diet. 24h fast.",pheno,inbred,14,m,,"high-fat diet and ethanol",8-14wks,"Rusyn I",2011
Rusyn5,"lipid profile","Hepatic triglycerides after 4wk regimen of ethanol and high-fat diet. 24h fast.",pheno,inbred,14,m,,"high-fat diet and ethanol",8-14wks,"Rusyn I",2011
Rusyn5,"RNA expression profiling","Liver gene expression after 4wk regimen of ethanol and high-fat diet. 24h fast. mRNA abundance relative to the control (high-fat only) group.",pheno,inbred,14,m,,"high-fat diet and ethanol",8-14wks,"Rusyn I",2011
Rusyn6,"organ weights","Liver, kidney weights. Trichloroethylene-exposed vs. control.",pheno,inbred,7,m,,trichloroethylene,6-7wks,"Rusyn I",2014
Rusyn6,"metabolic panel","Blood urea nitrogen (serum). Trichloroethylene-exposed vs. control.",pheno,inbred,7,m,,trichloroethylene,6-7wks,"Rusyn I",2014
Rusyn6,"drug and metabolite quantification","Trichloroethylene metabolite in blood, liver, kidney after trichloroethylene exposure.",pheno,inbred,7,m,,trichloroethylene,6-7wks,"Rusyn I",2014
Rusyn6,"RNA expression profiling","Trichloroethylene effect on mRNA gene expression in liver and kidney, relative to controls.",pheno,inbred,7,m,,trichloroethylene,6-7wks,"Rusyn I",2014
Rusyn6,histopathology,"Kidney histopathology evaluation after trichloroethylene exposure, relative to controls.",pheno,inbred,7,m,,trichloroethylene,6-7wks,"Rusyn I",2014
Rusyn7,"study archive","Toxicokinetics and toxicodynamics of tetrachloroethylene exposure.",phenoarchive,CC,45,both,,tetrachloroethylene,,"Cichocki JA, Rusyn I",2016
Rusyn8,"study archive","Trichloroethylene exposure.",qtla,CC,45,m,,trichloroethylene,,"Rusyn I, Venkatratnam A",2017
Rusyn9,"study archive","Nonalcoholic fatty liver disease states, toxicokinetics of tetrachloroethylene exposure.",onestrain,1strain,1,m,C57BL/6J,tetrachloroethylene,,"Cichocki JA, Rusyn I",2017
Sandell1,"health assessment","Post-injury wound healing. Ear cartilage and articular cartilage.",pheno,"LGXSM w/par",15,both,,,6-7wks,"Sandell LJ",2012
Sandell1,histopathology,"Post-injury wound healing. Articular cartilage at 12wks and 16wks post-injury.",pheno,"LGXSM w/par",15,both,,,6-7wks,"Sandell LJ",2012
Sanger4,genotyping,"SNP profiling, 80,000,000+ genomic locations. SNPs and indels. 1-19,X.",snp,inbred,37,both,,,,"Wellcome Trust Sanger Institute",2017
Schalkwyk1,"Morris water maze","Spatial learning and memory. Multiple trials.",pheno,inbred,8,m,,,9-11wks,"Schalkwyk LC, Fernandes C, Kember R, Lad HV, Liu L, Parsons MJ",2010
Schalkwyk1,"light-dark box","Anxiety-related behavior.",pheno,inbred,8,m,,,9-11wks,"Schalkwyk LC, Fernandes C, Kember R, Lad HV, Liu L, Parsons MJ",2010
Schalkwyk1,"open field test","Locomotor activity and exploratory behavior. 5 min test.",pheno,inbred,8,m,,,9-11wks,"Schalkwyk LC, Fernandes C, Kember R, Lad HV, Liu L, Parsons MJ",2010
Schalkwyk1,"elevated plus maze","Anxiety-related and exploratory behavior. 5 min test.",pheno,inbred,8,m,,,9-11wks,"Schalkwyk LC, Fernandes C, Kember R, Lad HV, Liu L, Parsons MJ",2010
Schalkwyk1,"puzzle box","Learning and memory.",pheno,inbred,8,m,,,9-11wks,"Schalkwyk LC, Fernandes C, Kember R, Lad HV, Liu L, Parsons MJ",2010
Schalkwyk1,"tail suspension test","Duration of immobility. Two trials.",pheno,inbred,8,m,,,9-11wks,"Schalkwyk LC, Fernandes C, Kember R, Lad HV, Liu L, Parsons MJ",2010
Schalkwyk2,"RNA expression profiling","Hippocampal microRNA expression. Normalized data.",pheno,"BXD w/par",26,m,,,15-16wks,"Schalkwyk LC, Chesler EJ, Fernandes C, Liu L, Parsons MJ, Paya-Cano JL",2012
Schauwecker1,"health assessment","Study of pilocarpine effect on epilepticus seizures.",pheno,inbred,11,m,,pilocarpine,8-10wks,"Schauwecker PE",2012
Schoenrock1,"body weight","Body weight at weaning and time of test. Comparison of 4 diets.",pheno,"CC RIX",18,f,,,"8-9 wks","Schoenrock SE, Tarantino LM",2018
Schoenrock1,"open field test","Locomotor activity, anxiety-related behavior. 10 min test. Comparison of 4 diets.",pheno,"CC RIX",18,f,,,"8-9 wks","Schoenrock SE, Tarantino LM",2018
Schoenrock1,"light-dark box","Anxiety-related behavior. 10 min test. Comparison of 4 diets.",pheno,"CC RIX",18,f,,,"8-9 wks","Schoenrock SE, Tarantino LM",2018
Schoenrock1,"body temperature","Temperature before and after stress. Comparison of 4 diets.",pheno,"CC RIX",18,f,,,"8-9 wks","Schoenrock SE, Tarantino LM",2018
Schoenrock1,"forced swim test","Immobility time. 6 min test. Comparison of 4 diets.",pheno,"CC RIX",18,f,,,"8-9 wks","Schoenrock SE, Tarantino LM",2018
Schoenrock1,"hormone quantification","Serum corticosterone at baseline and 10 mins after stress. Comparison of 4 diets.",pheno,"CC RIX",18,f,,,"8-9 wks","Schoenrock SE, Tarantino LM",2018
Schonfeld1,"body weight",,pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schonfeld1,"glucose tolerance","0 to 120 min after 10% glucose i.p. 5h fast.",pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schonfeld1,"insulin tolerance","0 to 120 min after insulin i.p. 5h fast.",pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schonfeld1,"lipid profile","Cholesterol, triglycerides, free fatty acids, phospholipids. 5h fast, plasma. Hepatic triglycerides.",pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schonfeld1,"metabolic panel","Glucose, beta-hydroxybutyrate (plasma). No fast.",pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schonfeld1,"organ weights","Liver weight.",pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schonfeld1,DXA,"Fat mass.",pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schonfeld1,"hormone quantification","Insulin level, 30 min post-injection in glucose tolerance test. 10% glucose. 5h fast.",pheno,inbred,11,both,,,8-10wks,"Schonfeld G",2005
Schughart1,"body weight","Influenza A (H1N1) virus vs. baseline. Several timepoints.",pheno,inbred,9,both,,"influenza A (H1N1) virus",10-12wks,"Schughart K",2009
Schughart1,"health assessment","Strain susceptibility score, influenza A (H1N1) virus.",pheno,inbred,9,both,,"influenza A (H1N1) virus",10-12wks,"Schughart K",2009
Schughart2,"body weight","Influenza A (H1N1) virus vs. baseline. Several timepoints..",pheno,"BXD w/par",56,f,,"influenza A (H1N1) virus",9-18wks,"Schughart K, Williams RW",2012
Schughart2,"health assessment","Survival rate, susceptibility, influenza A (H1N1) virus.",pheno,"BXD w/par",56,f,,"influenza A (H1N1) virus",9-18wks,"Schughart K, Williams RW",2012
Schughart3,"body weight","Influenza A (H3N2) virus (several doses) vs. baseline. Several timepoints.",pheno,"inbred w/CC8",8,both,,"influenza A (H3N2) virus",7-13wks,"Leist SR, Kollmus H, Schughart K",2013
Schughart3,"health assessment","Survival rate, susceptibility, influenza A (H3N2) virus (several doses).",pheno,"inbred w/CC8",8,both,,"influenza A (H3N2) virus",7-13wks,"Leist SR, Kollmus H, Schughart K",2013
Schughart4,"body weight","Influenza A (H3N2) virus vs. controls. Several timepoints.",pheno,"inbred w/CC8",8,f,,"influenza A (H3N2) virus",8-12wks,"Leist SR, Kollmus H, Schughart K",2016
Schughart4,"complete blood count","White blood cell count and differentials. Influenza A (H3N2) virus vs. controls.",pheno,"inbred w/CC8",8,f,,"influenza A (H3N2) virus",8-12wks,"Leist SR, Kollmus H, Schughart K",2016
Schughart4,"in vitro assay","Viral load in lungs after infection with influenza A (H3N2) virus.",pheno,"inbred w/CC8",8,f,,"influenza A (H3N2) virus",8-12wks,"Leist SR, Kollmus H, Schughart K",2016
Schughart5,"body weight","Influenza A (H3N2) virus vs. controls. Several timepoints.",pheno,"inbred w/CC8",8,f,,"influenza A (H3N2) virus",8-12wks,"Leist SR, Kollmus H, Schughart K",2016
Schughart5,"organ weights","Lung weight. Animals infected with influenza A (H3N2) virus vs. controls.",pheno,"inbred w/CC8",8,f,,"influenza A (H3N2) virus",8-12wks,"Leist SR, Kollmus H, Schughart K",2016
Schulz1,ventilator,"Lung, respiratory function.",pheno,inbred,7,both,,,9-18wks,"Schulz H",2000
Schulz1,"body weight",,pheno,inbred,7,both,,,9-18wks,"Schulz H",2000
Schwartz2,"bronchoalveolar lavage assessment","Lung inflammatory changes. Ovalbumin vs. control.",pheno,inbred,8,m,,ovalbumin,6-8wks,"Schwartz DA, Berman KG, Whitehead GS, Walker JK",2001
Schwartz3,"study archive","Lung, respiratory response to lipopolysaccharide endotoxin.",phenoarchive,inbred,10,both,,,,"Schwartz DA",2003
Schwartz4,"study archive","Lung, respiratory response to ozone. Methacholine-sensitized.",phenoarchive,inbred,8,both,,,,"Schwartz DA",2004
Schwartz5,"study archive","Lung, respiratory response to Streptococcus zooepidemicus.",phenoarchive,inbred,8,both,,,,"Schwartz DA",2007
Seburn1,"body weight",,pheno,inbred,16,both,,,7-9wks,"Seburn KL",2001
Seburn1,"monitoring system","Locomotor activity and energy metabolism. 24h test.",pheno,inbred,16,both,,,7-9wks,"Seburn KL",2001
Seburn1,"intake monitoring","Food, caloric, and water intake. Daily.",pheno,inbred,16,both,,,7-9wks,"Seburn KL",2001
Seburn2,"grip strength","Peak tension. 3 trials. Aging study, 6mo, 12mo, 18mo, 24mo.",pheno,inbred,32,both,,,"26, 52, 78, 104 wks","Seburn KL, Xing S, Burgess RW",2008
Seburn2,"gait analysis","Aging study, 6mo, 18mo.",pheno,inbred,32,both,,,"26, 52, 78, 104 wks","Seburn KL, Xing S, Burgess RW",2008
Sheehan1,"study archive","Urinalysis. Creatinine, microalbumin, body weight.",qtla,"QTL population",,m,"C57BL/6J x DBA/2J intercross F2 progeny",,10wks,"Sheehan SM, Churchill GA",2007
Shimomura1,"study archive","Circadian activity.",qtla,"QTL population",,both,"BALB/cJ x C57BL/6J F2 progeny",,,"Shimomura K, Churchill GA",2001
Shin1,"observational fear learning test","Percent time freezing to conditioning and contextual exposure.",pheno,inbred,11,m,,,12-14wks,"Shin H, Keum S",2016
Shin1,"fear conditioning test","Pavlovian fear conditioning.",pheno,inbred,11,m,,,12-14wks,"Shin H, Keum S",2016
Shin1,"open field test","Locomotor activity and exploratory behavior. 5 min test.",pheno,inbred,11,m,,,12-14wks,"Shin H, Keum S",2016
Shin1,"elevated plus maze","Exploratory and anxiety-related behaviors. 5 min test.",pheno,inbred,11,m,,,12-14wks,"Shin H, Keum S",2016
Shin1,"three chamber assay","Sociability testing. Tolerance of a novel mouse, a novel object, and second novel mouse vs. first. 10 min test.",pheno,inbred,11,m,,,12-14wks,"Shin H, Keum S",2016
Shockley1,"body weight","High-fat diet for 4wks vs. control.",pheno,inbred,10,both,,"high-fat diet",10-13wks,"Shockley K, Paigen B, Churchill GA",2008
Shockley1,"lipid profile","Cholesterol, HDL, triglycerides, fatty acids. High-fat diet (4wks) vs. control. 5h fast, serum.",pheno,inbred,10,both,,"high-fat diet",10-13wks,"Shockley K, Paigen B, Churchill GA",2008
Shockley1,"metabolic panel","Clinical blood chemistry measures (serum). High-fat diet (4wks) vs. control.",pheno,inbred,10,both,,"high-fat diet",10-13wks,"Shockley K, Paigen B, Churchill GA",2008
Shorter1,"study archive","Male fertility assessment.",phenoarchive,"CC pre",347,m,,,,"Shorter JR, O'Brien DA, Pardo-Manuel de Villena F",2017
Shorter3,"colony observation","Litter size assessment.",pheno,"CC diallel w/par",62,f,,,3wks,"Shorter JR, Maurizio PL, Valdar W, Pardo-Manuel de Villena F",2018
Solberg1,"study archive","Open field test, forced swim test, defensive burying task.",qtla,"QTL population",,both,"WKY and Fisher 344 rat strain intercross",,11-17wks,"Solberg LC, Churchill GA",2004
Spijker1,"acoustic startle test","Acoustic startle response, prepulse inhibition.",pheno,"BXD w/par",45,m,,,8wks,"Spijker S",2011
Spijker1,"choice serial reaction time task","Choice serial reaction time task. Impulsivity, attention, cognitive flexibility behavior.",pheno,"BXD w/par",45,m,,,8wks,"Spijker S",2011
Spijker2,"home cage monitoring","Exploratory behavior. 4 min and 10 min tests.",pheno,inbred,12,m,,,6wks,"Spijker S",2009
Spijker2,"open field test","Locomotor activity and exploratory behavior. 10 min test.",pheno,inbred,12,m,,,6wks,"Spijker S",2009
Spijker2,"light-dark box","Anxiety, avoidance behavior. 5 min test.",pheno,inbred,12,m,,,6wks,"Spijker S",2009
Spijker2,"elevated plus maze","Exploratory and anxiety-related behaviors. 5 min test.",pheno,inbred,12,m,,,6wks,"Spijker S",2009
Spijker2,"choice serial reaction time task","Choice serial reaction time task. Impulsivity, attention, cognitive flexibility behavior. 25 min test.",pheno,inbred,12,m,,,6wks,"Spijker S",2009
Stahl1,"study archive","Hematology and clinical chemistry reference levels.",onestrain,1strain,1,both,C57BL/6J,,6-10wks,"Stahl FR",2018
Stylianou1,"study archive","Body size, weight, fat pad weights after high-fat diet.",qtla,"QTL population",,both,"SM/J x NZB/BlNJ F2 progeny","high-fat diet",24wks,"Stylianou IM, Churchill GA",2006
Stylianou2,"study archive","Lipids. Cholesterol, triglycerides, body weight.",qtla,"QTL population",,both,"B6.A consomic and F2 mouse crosses",,8-10wks,"Stylianou IM, Churchill GA",2006
Su2,"study archive","Lipids (plasma). Cholesterol, triglycerides, aortic lesions, body mass index.",qtla,"QTL population",,f,"C57BL/6J x C3H/HeJ F2 intercross","high-fat diet",14wks,"Su Z, Churchill GA",2009
Sugiyama1,"tail cuff","Heart rate and blood pressure. Conscious mice.",pheno,inbred,25,m,,,10wks,"Sugiyama F, Tsukahara C, Paigen B",2007
Sugiyama2,"study archive","Blood pressure (tail cuff) after sodium chloride intake.",qtla,"QTL population",,m,"C57BL/6J x A/J reciprocal back crosses","sodium chloride",10wks,"Sugiyama F, Churchill GA",2001
Sugiyama3,"study archive","Blood pressure (tail cuff), heart weight, body weight.",qtla,"QTL population",,m,"BALB/cJ and CBA/CaJ F2 progeny",,10wks,"Sugiyama F, Churchill GA",2002
Sundberg1,"study archive","Histopathology. Aging study.",phenoarchive,inbred,28,both,,,,"Sundberg JP",2008
Sundberg2,"study archive","Alopecia areata autoimmune disease susceptibility.",qtla,"QTL population",,both,"C3H/HeJ x C57BL/6J intercross F2 progeny",,52wks,"Sundberg JP",2003
Svenson1,"tail cuff","Heart rate and blood pressure. Conscious mice.",pheno,inbred,14,both,,,9wks,"Svenson KL, Smith RV",2004
Svenson3,"complete blood count",Hematology.,pheno,"B6.PWD consomic w/par",28,both,,,9wks,"Svenson KL, Forejt J, Donahue L, Paigen B",2006
Svenson3,"coagulation test","Fibrinogen, anti-thrombin III, factor VIII",pheno,"B6.PWD consomic w/par",28,both,,,9wks,"Svenson KL, Forejt J, Donahue L, Paigen B",2006
Svenson3,"metabolic panel","Glucose, bilirubin, blood urea nitrogen, aspartate transaminase (plasma). 4h fast.",pheno,"B6.PWD consomic w/par",28,both,,,9wks,"Svenson KL, Forejt J, Donahue L, Paigen B",2006
Svenson3,"lipid profile","Cholesterol, HDL, triglycerides, free fatty acids. 4h fast, plasma.",pheno,"B6.PWD consomic w/par",28,both,,,9wks,"Svenson KL, Forejt J, Donahue L, Paigen B",2006
Svenson4,"body size and weight","Body weight, body length, body mass index.",pheno,"B6.PWD consomic w/par",28,both,,,16wks,"Svenson KL, Forejt J, Donahue L, Paigen B",2006
